"time","data"
2015-01-03,7754
2015-01-04,0
2015-01-05,9096
2015-01-06,4833
2015-01-07,5206
2015-01-08,6404
2015-01-09,5853
2015-01-10,10470
2015-01-11,3754
2015-01-12,807
2015-01-13,5196
2015-01-14,8203
2015-01-15,5623
2015-01-16,10393
2015-01-17,7589
2015-01-18,13545
2015-01-19,6015
2015-01-20,6984
2015-01-21,8638
2015-01-22,3268
2015-01-23,6120
2015-01-24,1696
2015-01-25,10915
2015-01-26,10805
2015-01-27,2848
2015-01-28,4935
2015-01-29,7950
2015-01-30,4809
2015-01-31,4218
2015-02-01,1780
2015-02-02,6710
2015-02-03,6474
2015-02-04,4473
2015-02-05,4495
2015-02-06,15670
2015-02-07,5701
2015-02-08,14074
2015-02-09,18589
2015-02-10,8815
2015-02-11,7661
2015-02-12,8952
2015-02-13,15612
2015-02-14,3030
2015-02-15,1901
2015-02-16,13374
2015-02-17,7024
2015-02-18,7538
2015-02-19,8819
2015-02-20,7770
2015-02-21,7478
2015-02-22,10008
2015-02-23,8719
2015-02-24,6061
2015-02-25,7333
2015-02-26,7898
2015-02-27,4070
2015-02-28,4715
2015-03-01,6690
2015-03-02,9679
2015-03-03,7505
2015-03-04,9202
2015-03-05,10593
2015-03-06,9534
2015-03-07,3092
2015-03-08,4956
2015-03-09,7965
2015-03-10,5805
2015-03-11,8988
2015-03-12,11601
2015-03-13,9627
2015-03-14,19643
2015-03-15,25282
2015-03-16,10200
2015-03-17,6437
2015-03-18,7261
2015-03-19,7257
2015-03-20,8983
2015-03-21,12680
2015-03-22,7667
2015-03-23,9013
2015-03-24,6761
2015-03-25,10884
2015-03-26,8180
2015-03-27,10987
2015-03-28,15860
2015-03-29,7016
2015-03-30,0
2015-03-31,5350
2015-04-01,6660
2015-04-02,4960
2015-04-03,9854
2015-04-04,18328
2015-04-05,3803
2015-04-08,7056
2015-04-09,0
2015-04-10,9817
2015-04-11,0
2015-04-12,3010
2015-04-13,7570
2015-04-14,2784
2015-04-15,6971
2015-04-16,6037
2015-04-17,0
2015-04-18,9318
2015-04-19,8058
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,2674
2015-04-27,0
2015-04-28,10822
2015-04-29,0
2015-04-30,9666
2015-05-01,0
2015-05-02,8467
2015-05-03,10505
2015-05-04,4481
2015-05-05,0
2015-05-06,11071
2015-05-07,0
2015-05-08,7848
2015-05-09,13031
2015-05-10,8628
2015-05-11,7517
2015-05-12,5233
2015-05-13,0
2015-05-14,0
